 01.04.04 - CORRECT:  'SampleSheet.csv' | File_size: 145  | Etag: c4a054a386602b76ea989014364d0b4d.
 01.04.19 - CORRECT:  'A653_1143_R1_CEL.fastq.gz' | File_size: 2.3G  | Etag: 0af5f6de5234ee35bb34b70a5df2d72f-289.
 01.04.35 - CORRECT:  'A653_1143_R2_CEL.fastq.gz' | File_size: 2.3G  | Etag: d6cf8e4b29745fa41518f6dbd4e7453f-293.
 01.04.35 - CORRECT:  'SampleSheet.csv' | File_size: 140  | Etag: 8cfdc020813f8935557bfd16ee7e5933.
 01.04.58 - CORRECT:  'A653_753_R1_CEL.fastq.gz' | File_size: 3.3G  | Etag: acb2f645be31fb350c770da42abf80aa-416.
 01.05.22 - CORRECT:  'A653_753_R2_CEL.fastq.gz' | File_size: 3.3G  | Etag: 1c6324e6b504a208acae7ea513d1d471-422.
 01.05.35 - CORRECT:  'A653_1149_R2_CEL.fastq.gz' | File_size: 2.0G  | Etag: 136b89f90437675dd76e490522f09db5-254.
 01.05.35 - CORRECT:  'SampleSheet.csv' | File_size: 142  | Etag: 6013a998e81598fed7e797aca98ad6b5.
 01.05.49 - CORRECT:  'A653_1149_R1_CEL.fastq.gz' | File_size: 2.0G  | Etag: 2365cf8e3ea917cc0d45d0f0851d964e-251.
 01.05.49 - CORRECT:  'SampleSheet.csv' | File_size: 145  | Etag: 3209d458b1e893816e36b190a243bb02.
 01.06.04 - CORRECT:  'A653_1130_R1_CEL.fastq.gz' | File_size: 2.3G  | Etag: b21fb2be0d4650b835df9e537d7f62b7-283.
 01.06.19 - CORRECT:  'A653_1130_R2_CEL.fastq.gz' | File_size: 2.3G  | Etag: 34180c68af8efe5d200cd5774c992949-286.
 01.06.19 - CORRECT:  'SampleSheet.csv' | File_size: 140  | Etag: c88c74a09c930d3a24c120e0d3c42cd8.
 01.06.38 - CORRECT:  'A653_288_R1_CEL.fastq.gz' | File_size: 2.8G  | Etag: ee2b6b99260b9bc5cf59a964b56d9e43-352.
 01.06.57 - CORRECT:  'A653_288_R2_CEL.fastq.gz' | File_size: 2.8G  | Etag: fca2954cb7e2d1903bda2ee528e7cc81-356.
 01.07.31 - CORRECT:  'A653_651_R1_CEL.fastq.gz' | File_size: 4.9G  | Etag: 516add51558f8a3dbfec74f760fd66f7-622.
 01.08.05 - CORRECT:  'A653_651_R2_CEL.fastq.gz' | File_size: 4.9G  | Etag: 4850fca08a284277aaec458b53994746-625.
 01.08.37 - CORRECT:  'A653_874_R1_CEL.fastq.gz' | File_size: 4.6G  | Etag: c5d3a02a6329bf4b3428b4e35c8bbffb-589.
 01.09.10 - CORRECT:  'A653_874_R2_CEL.fastq.gz' | File_size: 4.7G  | Etag: 3f6e9dbb4f6ebad6c8196150aaf3b8c8-591.
 01.09.10 - CORRECT:  'checksums.md5' | File_size: 538  | Etag: 013c6cc7b89899b6068bc20f6fed7c8c.
 01.09.38 - CORRECT:  'A653_516_R2_CEL.fastq.gz' | File_size: 4.2G  | Etag: c1e66ca5b43def18b25d0b3f69583ef6-532.
 01.10.06 - CORRECT:  'A653_516_R1_CEL.fastq.gz' | File_size: 4.2G  | Etag: ea9a3a4977437870c36af4170da5e062-528.
 01.10.06 - CORRECT:  'SampleSheet.csv' | File_size: 144  | Etag: 39ff20af14196252399ea5a2044d2afc.
 01.10.18 - CORRECT:  'A653_710_R2_CEL.fastq.gz' | File_size: 1.7G  | Etag: ae6f221ae90a5933471f50db7eb0df0a-214.
 01.10.30 - CORRECT:  'A653_710_R1_CEL.fastq.gz' | File_size: 1.7G  | Etag: ff0c1df3c844f4aacddc378815e2ab6c-212.
 01.10.30 - CORRECT:  'SampleSheet.csv' | File_size: 144  | Etag: a6dd8317f77555b02b0144923ba0a73c.
 01.10.44 - CORRECT:  'A653_890_R2_CEL.fastq.gz' | File_size: 2.0G  | Etag: de3e01373ed551098975e8c05ddada4c-256.
 01.10.58 - CORRECT:  'A653_890_R1_CEL.fastq.gz' | File_size: 2.0G  | Etag: 1d20b9e7fd82244ed9158018f4335639-253.
 01.11.06 - CORRECT:  'A653_031_R2_CEL.fastq.gz' | File_size: 1.2G  | Etag: 3925ad63c9c90f51ac1a70b110dc5933-150.
 01.11.14 - CORRECT:  'A653_031_R1_CEL.fastq.gz' | File_size: 1.2G  | Etag: 884ccc60eea9d4b8906dc0750987402a-147.
 01.11.14 - CORRECT:  'SampleSheet.csv' | File_size: 144  | Etag: 8437d93ae9a507a64b0fb2c580bbf755.
 01.11.14 - CORRECT:  'SampleSheet.csv' | File_size: 144  | Etag: 6cfd8673a2b35c1366975a1bc0b03d4d.
 01.11.26 - CORRECT:  'A653_719_R2_CEL.fastq.gz' | File_size: 1.9G  | Etag: f16422ec67665426eec5884ee4bdbdaf-233.
 01.11.39 - CORRECT:  'A653_719_R1_CEL.fastq.gz' | File_size: 1.9G  | Etag: ef0e47b4cde7deb746134ea6fb1d0758-231.
 01.11.43 - CORRECT:  'A653_651_R1_CEL.fastq.gz' | File_size: 604M  | Etag: f341f3c264bfe8b595f395cd82b7bccf-76.
 01.11.47 - CORRECT:  'A653_651_R2_CEL.fastq.gz' | File_size: 617M  | Etag: aa2ffcf127066958ec7f26818846caa1-78.
 01.11.51 - CORRECT:  'A653_874_R1_CEL.fastq.gz' | File_size: 555M  | Etag: 7d7937a1a62c03dcda7769a1ab355c2e-70.
 01.11.55 - CORRECT:  'A653_874_R2_CEL.fastq.gz' | File_size: 564M  | Etag: e8fcb49790e9afe2436e3ec7e1fd4838-71.
 01.12.20 - CORRECT:  'A653_950_R2_CEL.fastq.gz' | File_size: 3.7G  | Etag: ae2c03daf35df37c5f8c31e1ad3ba7dc-465.
 01.12.44 - CORRECT:  'A653_950_R1_CEL.fastq.gz' | File_size: 3.6G  | Etag: ef4cd7ad3af997d5f272f1e0d74907cc-455.
 01.13.08 - CORRECT:  'A653_380_R1_CEL.fastq.gz' | File_size: 3.5G  | Etag: 5ccf527302d449e8be37d3ab7f924f1d-448.
 01.13.32 - CORRECT:  'A653_380_R2_CEL.fastq.gz' | File_size: 3.6G  | Etag: 462c12ab0c5597fcf042d080420f40c9-458.
 01.13.36 - CORRECT:  'A653_516_R2_CEL.fastq.gz' | File_size: 538M  | Etag: 06239f5b84591c2820f033af037ee23b-68.
 01.13.40 - CORRECT:  'A653_516_R1_CEL.fastq.gz' | File_size: 528M  | Etag: 0e6c29b6b8276bb0cabf3ac67173d7ca-66.
 01.14.03 - CORRECT:  'A653_898_R2_CEL.fastq.gz' | File_size: 3.4G  | Etag: cd1f9d5937f32803ec1c322ac26d57dc-432.
 01.14.27 - CORRECT:  'A653_898_R1_CEL.fastq.gz' | File_size: 3.4G  | Etag: d998873df18b53d49b99a9d1a8b0b0c7-424.
 01.14.38 - CORRECT:  'A653_965_R1_CEL.fastq.gz' | File_size: 1.8G  | Etag: 3992c5cbad1e8df07912919c3e6173f5-222.
 01.14.38 - CORRECT:  'SampleSheet.csv' | File_size: 140  | Etag: 20c6b42e4705ec59edc41e776fe7e253.
 01.14.51 - CORRECT:  'A653_965_R2_CEL.fastq.gz' | File_size: 1.8G  | Etag: 885bdb145f9e3cfc63430001857c23a0-225.
 01.15.06 - CORRECT:  'A653_696_R2_CEL.fastq.gz' | File_size: 2.3G  | Etag: 03a81908975c15e63ec10047320e5f74-290.
 01.15.06 - CORRECT:  'SampleSheet.csv' | File_size: 140  | Etag: 6be627ca8a7eebb1575216fafb54b23a.
 01.15.22 - CORRECT:  'A653_696_R1_CEL.fastq.gz' | File_size: 2.3G  | Etag: 1ce7d583033a663e474b48d3ff626149-287.
 01.15.22 - CORRECT:  'SampleSheet.csv' | File_size: 166  | Etag: 0952058ba5cbc828fe5c2797cda1ddef.
 01.15.39 - CORRECT:  'A653_710_R2_CEL.fastq.gz' | File_size: 2.4G  | Etag: daeafa3ff3e64c811ae8be5c4d0a52b3-300.
 01.15.54 - CORRECT:  'A653_710_R1_CEL.fastq.gz' | File_size: 2.3G  | Etag: c5c6a4753b288bde65b0564ad411be35-292.
 01.16.06 - CORRECT:  'A653_031_R2_CEL.fastq.gz' | File_size: 1.9G  | Etag: e0b14afcff80c01a0815d1bd27a3f4ca-240.
 01.16.18 - CORRECT:  'A653_031_R1_CEL.fastq.gz' | File_size: 1.8G  | Etag: 29fd144a7bcba180886f4f6c40e34158-229.
 01.16.18 - CORRECT:  'SampleSheet.csv' | File_size: 166  | Etag: 453a537c25579e737424784929f37155.
 01.16.18 - CORRECT:  'SampleSheet.csv' | File_size: 247  | Etag: 6445629f9f595a0eedcaf67b6ef7e1b2.
 01.16.45 - CORRECT:  'A653_950_R2_CEL.fastq.gz' | File_size: 4.2G  | Etag: f2d36e4184dc48d064bbc6152122051d-536.
 01.17.14 - CORRECT:  'A653_950_R1_CEL.fastq.gz' | File_size: 4.2G  | Etag: 0561aa4a2f9b2abba3a937fee5eb0166-527.
 01.17.14 - CORRECT:  'SampleSheet.csv' | File_size: 166  | Etag: f08f8e2a10aec11a185a078c53401941.
 01.17.42 - CORRECT:  'A653_719_R2_CEL.fastq.gz' | File_size: 3.9G  | Etag: 4dea8f4a5e90e89ab87d5af6386e5528-492.
 01.18.09 - CORRECT:  'A653_719_R1_CEL.fastq.gz' | File_size: 3.8G  | Etag: 69d1a5f8770ad698daf90c0405bf4b37-485.
 01.18.22 - CORRECT:  'A653_985_R2_CEL.fastq.gz' | File_size: 1.9G  | Etag: 09c5a8e0cf4603ef94475d8096d80906-236.
 01.18.22 - CORRECT:  'SampleSheet.csv' | File_size: 140  | Etag: 73a863c88a272bdd2b31bbbc9616c3f4.
 01.18.36 - CORRECT:  'A653_985_R1_CEL.fastq.gz' | File_size: 1.9G  | Etag: d48ced032d82a582a56401d4f0ecb780-234.
 01.19.42 - CORRECT:  'A653_1185_R1_CEL.fastq.gz' | File_size: 9.1G  | Etag: c26441f3764297b6cf21ae9a0c12f276-1165.
