 23.02.54 - CORRECT:  'readme.txt' | File_size: 1.4K  | Etag: 7e6b4e99aaf78667f9264093daf933be.
 23.02.55 - CORRECT:  'NM3342_PD163_A1B1_GM-T_S16_R3_001_QC_fastqc.zip' | File_size: 723K  | Etag: b940d30953d585b272040bf6acf1e6f5.
 23.02.55 - CORRECT:  'NM3330_PDC05_A1A2_GM-T_S4_R3_001_QC_fastqc.html' | File_size: 242K  | Etag: 7a9d56b3b771d5d9b3c76b2ab31a40e8.
 23.02.55 - CORRECT:  'PDC22_fastp.html' | File_size: 9.3M  | Etag: 4d94ef5d47e958a4edb52b64002cf458-2.
 23.02.55 - CORRECT:  'NM3333_PD413_A2B1_GM-T_S7_R3_001_QC_fastqc.zip' | File_size: 714K  | Etag: b8d108ee7772314d5c7c4ed88bcb2e20.
 23.02.56 - CORRECT:  'NM3334_PDC22_A1E3_GM-T_S8_R1_001_QC_fastqc.zip' | File_size: 709K  | Etag: 41593225d194660cd8880e1cf514adce.
 23.03.47 - CORRECT:  'NM3327_PD332_A2B1_GM-T_S1_R3_001_QC.fastq.gz' | File_size: 8.0G  | Etag: 304d95f537a9954530e94a6ff7a46acb-1016.
 23.03.47 - CORRECT:  'NM3329_PD732_A2B2_GM-T_S3_R1_001_QC_fastqc.html' | File_size: 237K  | Etag: 323080bd030dcd2c33493aff3197b2b4.
 23.04.42 - CORRECT:  'NM3345_PD115_A1B1_GM-T_S19_R1_001_QC.fastq.gz' | File_size: 8.1G  | Etag: cbfce162c82ccf2c98902b314c6bbe60-1035.
 23.04.42 - CORRECT:  'NM3332_PD366_A2B3_GM-T_S6_R3_001_QC_fastqc.html' | File_size: 246K  | Etag: 2a0d6216c293eacf854d9b0f25a31337.
 23.05.50 - CORRECT:  'NM3328_PD341_A2B2_GM-T_S2_R1_001_QC.fastq.gz' | File_size: 9.2G  | Etag: 94d4f6706f17462cf69f0e5aa0cdfc01-1170.
 23.05.50 - CORRECT:  'PD566_fastp.json' | File_size: 2.0M  | Etag: 3d1de0f937bc4a97da77fd8ffc9e4749.
 23.05.50 - CORRECT:  'NM3335_PD706_A1A1_GM-T_S9_R3_001_QC_fastqc.html' | File_size: 243K  | Etag: ea5db2a27c9df10f2da6b8e444d7f47c.
 23.05.50 - CORRECT:  'NM3333_PD413_A2B1_GM-T_S7_R3_001_QC_fastqc.html' | File_size: 241K  | Etag: b293f503114ad4e1b2768cbb66781a8c.
 23.05.51 - CORRECT:  'NM3335_PD706_A1A1_GM-T_S9_R1_001_QC_fastqc.zip' | File_size: 710K  | Etag: 0778f9f0a43c7984ceb3fef33d75f2c0.
 23.05.51 - CORRECT:  'PD413_fastp.html' | File_size: 4.0M  | Etag: ba49b2b71fea0ff54cfb7c8dfc42d707.
 23.05.51 - CORRECT:  'PD332_fastp.html' | File_size: 24M  | Etag: 76a8b657203185f0bec566f6121e2c53-3.
 23.05.52 - CORRECT:  'NM3340_PD523_A2B3_GM-T_S14_R3_001_QC_fastqc.html' | File_size: 245K  | Etag: ca7e7d5b7506c9f085ce32c230a869af.
 23.05.52 - CORRECT:  'NM3327_PD332_A2B1_GM-T_S1_R1_001_QC_fastqc.html' | File_size: 238K  | Etag: 4f620157c168d0f939602510b2ef7998.
 23.07.01 - CORRECT:  'NM3346_PD666_A1A4_GM-T_S20_R3_001_QC.fastq.gz' | File_size: 9.3G  | Etag: 78d18e4abbc5eeaad32cef12ec7f7ec8-1182.
